p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	0.29236674861546	0.433	0.107	0	11	LOC551151
0	0.292186800444912	0.428	0.109	0	11	LOC413699
0	0.292169176691592	0.344	0.065	0	11	LOC552431
0	0.292050031756809	0.341	0.061	0	11	LOC107963973
0	0.291907838274783	0.606	0.214	0	11	LOC408845
0	0.29190703136563	0.307	0.051	0	11	LOC107964314
0	0.291753697398466	0.345	0.068	0	11	rnd-5-family-2258#Unknown
0	0.291651716013384	0.588	0.2	0	11	LOC411457
0	0.291648127043542	0.298	0.052	0	11	LOC410442
0	0.29158844220857	0.427	0.108	0	11	LOC724943
0	0.291533439611387	0.505	0.154	0	11	LOC725704
0	0.291394386375984	0.361	0.072	0	11	LOC725368
0	0.291207761377111	0.325	0.071	0	11	LOC409089
0	0.291094223501438	0.465	0.129	0	11	LOC726589
0	0.290985938928563	0.609	0.211	0	11	LOC724672
0	0.290887734223959	0.519	0.171	0	11	LOC724242
0	0.290760932983482	0.576	0.201	0	11	LOC551736
0	0.290760303852827	0.497	0.15	0	11	LOC726587
0	0.290683540057744	0.749	0.311	0	11	LOC408577
0	0.290625247404978	0.402	0.095	0	11	LOC413089
0	0.29057542292725	0.555	0.179	0	11	LOC725689
0	0.290423679350305	0.292	0.038	0	11	LOC409265
0	0.290361815530487	0.303	0.046	0	11	LOC412613
0	0.290063806771923	0.34	0.084	0	11	LOC410662
0	0.289862215736819	0.429	0.11	0	11	LOC550801
0	0.289684557935062	0.464	0.127	0	11	LOC412154
0	0.289664630400715	0.648	0.242	0	11	LOC409983
0	0.289594219744966	0.561	0.179	0	11	LOC551999
0	0.289532776144467	0.502	0.144	0	11	LOC107965473
0	0.289520257887838	0.38	0.085	0	11	MT-Ndufs1
0	0.289446930731726	0.545	0.17	0	11	LOC409178
0	0.289312263818604	0.344	0.067	0	11	LOC411692
0	0.289306192828094	0.552	0.179	0	11	LOC725950
0	0.289283277561282	0.445	0.122	0	11	LOC412401
0	0.289189476338094	0.352	0.073	0	11	nAChRa2
0	0.289131664843231	0.276	0.039	0	11	LOC412088
0	0.289077390556098	0.387	0.089	0	11	LOC724669
0	0.28902418306095	0.561	0.175	0	11	LOC551201
0	0.288920325261541	0.38	0.082	0	11	LOC410806
